stage,ncc_std,theta,offset,delta_mag,pnorm_diff,ncc_A_plus_B,judge
750MPa,0.875,-11.0,-4,0.195,74.7,1.806,delta<0.8;pnorm>30
800MPa,0.899,78.0,3,0.151,18.6,1.795,delta<0.8
850MPa,0.913,-49.0,3,0.143,33.8,1.829,delta<0.8;pnorm>30
900MPa,0.922,-43.0,-3,0.082,41.4,1.841,delta<0.8;pnorm>30
950MPa,0.913,-81.0,4,0.153,6.3,1.819,delta<0.8
1000MPa,0.829,79.0,3,0.871,9.7,1.724,PASS
1050MPa,0.843,77.0,4,1.040,8.1,1.749,PASS
1100MPa,0.848,81.0,4,1.119,13.2,1.776,PASS
1150MPa,0.832,73.0,1,1.299,14.1,1.682,PASS
1200MPa,0.798,78.0,3,1.515,NA_strain_missing,1.695,PASS
1250MPa,0.782,81.0,4,1.674,NA_strain_missing,1.653,PASS
