SerialNo,SubsetNo,X,Y,Xオリジナル,Yオリジナル,垂直ひずみ成分εx,垂直ひずみ成分εy,せん断ひずみ成分γxy,主ひずみε1,主ひずみε2,主せん断ひずみγ1,主ひずみ方向θ,体積ひずみ(平面ひずみ条件)εV,応力0MPa_GN_Resample
1,1,0,0,150,100,0,0,0,0,0,0,0,0,1
2,2,1,0,166,100,0,0,0,0,0,0,0,0,1
3,3,2,0,182,100,0,0,0,0,0,0,0,0,1
4,4,3,0,198,100,0,0,0,0,0,0,0,0,1
5,5,4,0,214,100,0,0,0,0,0,0,0,0,1
6,6,5,0,230,100,0,0,0,0,0,0,0,0,1
7,7,6,0,246,100,0,0,0,0,0,0,0,0,1
8,8,7,0,262,100,0,0,0,0,0,0,0,0,1
9,9,8,0,278,100,0,0,0,0,0,0,0,0,1
10,10,9,0,294,100,0,0,0,0,0,0,0,0,1
11,11,10,0,310,100,0,0,0,0,0,0,0,0,1
12,12,11,0,326,100,0,0,0,0,0,0,0,0,1
13,13,12,0,342,100,0,0,0,0,0,0,0,0,1
14,14,13,0,358,100,0,0,0,0,0,0,0,0,1
15,15,14,0,374,100,0,0,0,0,0,0,0,0,1
16,16,15,0,390,100,0,0,0,0,0,0,0,0,1
17,17,16,0,406,100,0,0,0,0,0,0,0,0,1
18,18,17,0,422,100,0,0,0,0,0,0,0,0,1
19,19,18,0,438,100,0,0,0,0,0,0,0,0,1
20,20,19,0,454,100,0,0,0,0,0,0,0,0,1
21,21,20,0,470,100,0,0,0,0,0,0,0,0,1
22,22,21,0,486,100,0,0,0,0,0,0,0,0,1
23,23,22,0,502,100,0,0,0,0,0,0,0,0,1
24,24,23,0,518,100,0,0,0,0,0,0,0,0,1
25,25,24,0,534,100,0,0,0,0,0,0,0,0,1
26,26,25,0,550,100,0,0,0,0,0,0,0,0,1
27,27,26,0,566,100,0,0,0,0,0,0,0,0,1
28,28,27,0,582,100,0,0,0,0,0,0,0,0,1
29,29,28,0,598,100,0,0,0,0,0,0,0,0,1
30,30,29,0,614,100,0,0,0,0,0,0,0,0,2
31,31,30,0,630,100,0,0,0,0,0,0,0,0,2
32,32,31,0,646,100,0,0,0,0,0,0,0,0,2
33,33,32,0,662,100,0,0,0,0,0,0,0,0,2
34,34,33,0,678,100,0,0,0,0,0,0,0,0,2
35,35,34,0,694,100,0,0,0,0,0,0,0,0,2
36,36,35,0,710,100,0,0,0,0,0,0,0,0,2
37,37,36,0,726,100,0,0,0,0,0,0,0,0,2
38,38,37,0,742,100,0,0,0,0,0,0,0,0,2
39,39,38,0,758,100,0,0,0,0,0,0,0,0,2
40,40,39,0,774,100,0,0,0,0,0,0,0,0,2
41,41,40,0,790,100,0,0,0,0,0,0,0,0,2
42,42,41,0,806,100,0,0,0,0,0,0,0,0,2
43,43,42,0,822,100,0,0,0,0,0,0,0,0,2
44,44,43,0,838,100,0,0,0,0,0,0,0,0,2
45,45,44,0,854,100,0,0,0,0,0,0,0,0,2
46,46,45,0,870,100,0,0,0,0,0,0,0,0,2
47,47,46,0,886,100,0,0,0,0,0,0,0,0,2
48,48,47,0,902,100,0,0,0,0,0,0,0,0,2
49,49,48,0,918,100,0,0,0,0,0,0,0,0,2
50,50,49,0,934,100,0,0,0,0,0,0,0,0,2
51,51,50,0,950,100,0,0,0,0,0,0,0,0,2
52,52,51,0,966,100,0,0,0,0,0,0,0,0,2
53,53,52,0,982,100,0,0,0,0,0,0,0,0,2
54,54,53,0,998,100,0,0,0,0,0,0,0,0,2
55,55,54,0,1014,100,0,0,0,0,0,0,0,0,2
56,56,55,0,1030,100,0,0,0,0,0,0,0,0,3
57,57,56,0,1046,100,0,0,0,0,0,0,0,0,3
58,58,57,0,1062,100,0,0,0,0,0,0,0,0,4
59,59,58,0,1078,100,0,0,0,0,0,0,0,0,4
60,60,59,0,1094,100,0,0,0,0,0,0,0,0,4
61,61,60,0,1110,100,0,0,0,0,0,0,0,0,4
62,62,61,0,1126,100,0,0,0,0,0,0,0,0,4
63,63,62,0,1142,100,0,0,0,0,0,0,0,0,4
64,64,63,0,1158,100,0,0,0,0,0,0,0,0,4
65,65,64,0,1174,100,0,0,0,0,0,0,0,0,4
66,66,65,0,1190,100,0,0,0,0,0,0,0,0,4
67,67,66,0,1206,100,0,0,0,0,0,0,0,0,4
68,68,67,0,1222,100,0,0,0,0,0,0,0,0,4
69,69,68,0,1238,100,0,0,0,0,0,0,0,0,4
70,70,69,0,1254,100,0,0,0,0,0,0,0,0,4
71,71,70,0,1270,100,0,0,0,0,0,0,0,0,4
72,72,71,0,1286,100,0,0,0,0,0,0,0,0,4
73,73,72,0,1302,100,0,0,0,0,0,0,0,0,5
74,74,73,0,1318,100,0,0,0,0,0,0,0,0,5
75,75,74,0,1334,100,0,0,0,0,0,0,0,0,5
76,76,75,0,1350,100,0,0,0,0,0,0,0,0,5
77,77,76,0,1366,100,0,0,0,0,0,0,0,0,5
78,78,77,0,1382,100,0,0,0,0,0,0,0,0,5
79,79,78,0,1398,100,0,0,0,0,0,0,0,0,5
80,80,79,0,1414,100,0,0,0,0,0,0,0,0,5
81,81,80,0,1430,100,0,0,0,0,0,0,0,0,5
82,82,81,0,1446,100,0,0,0,0,0,0,0,0,5
