,X,Y,応力,Grain_Number
1,0,0,0.210357876,0
2,1,0,0.091299529,0
3,2,0,0.007130732,0
4,3,0,0.148093872,0
5,4,0,-0.133452229,0
6,5,0,0.172697684,0
7,6,0,-0.050547989,0
8,7,0,0.214499954,0
9,8,0,0.154344605,0
10,9,0,0.150545206,0
11,10,0,0.193049047,0
12,11,0,-0.048659112,0
13,12,0,-0.002236405,0
14,13,0,0.122182729,0
15,14,0,0.130601696,0
16,15,0,0.042731664,0
17,16,0,0.211893788,0
18,17,0,0.132039944,0
19,18,0,0.16686445,0
20,19,0,0.288506908,0
21,20,0,0.092875548,0
22,21,0,0.057121733,0
23,22,0,0.220437019,0
24,23,0,0.009470105,0
25,24,0,0.138134758,0
26,25,0,0.152608376,0
27,26,0,0.218555692,0
28,27,0,0.047538485,0
29,28,0,0.232494045,0
30,29,0,0.109405823,0
31,30,0,0.156481097,0
32,31,0,0.154180713,0
33,32,0,0.180927359,0
34,33,0,0.323311091,0
35,34,0,0.146712254,1
36,35,0,0.305286233,1
37,36,0,-0.012604956,1
38,37,0,0.11847764,1
39,38,0,0.175720121,1
40,39,0,0.09006357,1
41,40,0,0.086334747,1
42,41,0,0.097231358,1
43,42,0,-0.016337086,1
44,43,0,0.013457951,1
45,44,0,0.015710887,1
46,45,0,0.135643941,1
47,46,0,0.071053342,1
48,47,0,-0.030075524,1
49,48,0,0.028186622,1
50,49,0,0.085797545,1
51,50,0,0.056513007,1
52,51,0,0.116821057,1
53,52,0,0.030206015,1
54,53,0,0.005057756,1
55,54,0,0.076461992,1
56,55,0,0.176817921,1
57,56,0,0.149826996,1
58,57,0,0,NaN
59,58,0,0,NaN
60,59,0,0,NaN
61,60,0,0.115720876,2
62,61,0,-0.347074965,2
63,62,0,-0.172849995,2
64,63,0,-0.045673003,2
65,64,0,0.060466814,2
66,65,0,-0.023349795,2
67,66,0,0.058467257,2
68,67,0,0.094540887,2
69,68,0,-0.203977105,2
70,69,0,-0.124166084,2
71,70,0,-0.090958348,2
72,71,0,-0.082831174,2
73,72,0,-0.141749485,2
74,73,0,-0.007619446,2
75,74,0,-0.053831131,2
76,75,0,0.104162856,2
77,76,0,-0.122629102,2
78,77,0,0.023778592,2
79,78,0,0.003402347,2
80,79,0,-0.028087903,2
81,80,0,0.037490853,3
82,81,0,0.039485859,3
83,82,0,-0.045939439,3
84,83,0,-0.007282888,3
85,84,0,-0.010062895,3
86,85,0,-0.009794157,3
87,86,0,0.043355864,3
88,87,0,0,NaN
89,88,0,0.221280423,4
90,89,0,0.086716495,4
91,90,0,0.058244436,4
92,91,0,-0.004853099,4
93,92,0,0.157929392,4
94,93,0,0.012385993,4
95,94,0,-0.04721649,4
96,95,0,0.052432916,4
97,96,0,-0.027599429,4
98,97,0,0.049802539,4
99,98,0,-0.043275149,4
100,99,0,0.050461103,4
101,100,0,0.166116052,4
102,101,0,0.262223962,5
103,102,0,-0.167276713,5
104,103,0,-0.019447542,5
105,104,0,-0.179462103,5
106,105,0,0.143783144,5
107,106,0,0.01537319,5
108,107,0,0.341460128,5
